F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,Class,Index
2.00E+00,1.50E+01,6.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,1.00E+00,-2.00E+00,1.00E+00,-1.00E+00,4.00E+00,-1.00E+00,1.00E+00,-3.00E+00,-2.00E+00,0,28
2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-1.00E+00,-1.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1,30
-2.00E+00,-2.00E+00,-6.00E+00,-5.00E+00,-2.00E+00,-9.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-8.00E+00,-3.00E+00,-3.00E+00,-6.00E+00,-1.50E+01,-1.50E+01,-1.10E+01,-1.10E+01,-1.10E+01,-5.00E+00,-9.00E+00,-1.20E+01,2.00E+00,-8.00E+00,-5.00E+00,-1,33
1.00E+00,-1.00E+00,1.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,1.00E+00,-1.00E+00,1.00E+00,1,39
-6.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-2.00E+01,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1.20E+01,-6.00E+00,-8.00E+00,-2.00E+01,-2.00E+00,-1.10E+01,-2.00E+00,2.00E+00,-8.00E+00,-1.60E+01,-1.70E+01,-1.60E+01,-1.70E+01,-1,42
2.00E+00,3.00E+00,-5.00E+00,6.00E+00,2.00E+00,-2.00E+00,-2.00E+00,1.20E+01,-2.00E+00,-9.00E+00,1.00E+00,3.00E+00,2.00E+00,-2.00E+00,1.00E+01,1.00E+01,1.50E+01,2.00E+00,2.00E+00,1.10E+01,-6.00E+00,1.80E+01,2.00E+00,-6.00E+00,1,61
-2.00E+01,1.00E+00,-5.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+01,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.30E+01,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-8.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.40E+01,1,66
-2.00E+00,1.00E+00,2.00E+00,0.00E+00,2.00E+00,1.00E+00,1.00E+00,1.00E+00,-1.00E+00,0.00E+00,-1.00E+00,1.00E+00,0.00E+00,-1.00E+00,-1.00E+00,1.00E+00,-1.00E+00,1.00E+00,0.00E+00,1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-2.00E+00,0,70
-2.00E+00,1.00E+00,2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,2.00E+00,2.00E+00,-1.00E+00,1.00E+00,2.00E+00,-3.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-1,79
-2.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,1.00E+00,1.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,1,81
-1.30E+01,-1.50E+01,2.00E+00,-1.80E+01,-1.60E+01,-1.50E+01,-1.50E+01,-8.00E+00,-7.00E+00,-2.00E+00,-1.40E+01,-1.70E+01,-1.70E+01,-1.10E+01,-1.60E+01,-1.70E+01,-2.00E+01,2.00E+00,-2.00E+01,-2.00E+01,-6.00E+00,-7.00E+00,-2.00E+01,-7.00E+00,-1,82
-2.00E+00,1.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,-2.00E+00,-1.00E+00,-3.00E+00,-6.00E+00,-1.60E+01,1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,1.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-1,83
-2.00E+00,9.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,0,84
-2.00E+00,-2.00E+00,-2.00E+00,1.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1.00E+00,1.00E+00,-2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,88
2.00E+00,6.00E+00,8.00E+00,-2.00E+00,2.00E+00,-3.00E+00,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+01,-2.00E+00,-2.00E+00,2.00E+00,3.00E+00,-1.00E+01,1.40E+01,3.00E+00,3.00E+00,-2.00E+00,-3.00E+00,7.00E+00,-2.00E+00,2.00E+00,-2.00E+00,0,91
1.00E+00,1.00E+00,-1.00E+00,0.00E+00,1.00E+00,-2.00E+00,-1.00E+00,1.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,5.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,1.00E+00,0,94
2.00E+00,2.00E+00,1.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,1,99
2.00E+00,-1.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,5.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-6.00E+00,6.00E+00,3.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+01,1,100
1.70E+01,3.00E+00,1.10E+01,1.40E+01,1.20E+01,1.70E+01,6.00E+00,1.40E+01,1.70E+01,1.80E+01,2.00E+00,7.00E+00,6.00E+00,1.50E+01,1.80E+01,1.40E+01,1.70E+01,1.80E+01,1.80E+01,1.80E+01,1.60E+01,1.40E+01,1.40E+01,1.30E+01,1,101
2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,3.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0,105
2.00E+00,1.00E+00,1.00E+00,0.00E+00,-1.00E+00,-2.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,-1.00E+00,-2.00E+00,-1.00E+00,-1.20E+01,2.00E+00,-5.00E+00,-1.00E+00,-4.00E+00,-2.00E+00,-5.00E+00,-3.00E+00,-1,106
-4.00E+00,2.00E+00,-6.00E+00,4.00E+00,7.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+01,3.00E+00,-5.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,-3.00E+00,-2.00E+00,-1.20E+01,-2.00E+00,-8.00E+00,0,107
2.00E+00,1.00E+00,2.00E+00,0.00E+00,-1.00E+00,2.00E+00,-1.00E+00,1.00E+00,1.00E+00,0.00E+00,-2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,1.00E+00,3.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,1,108
1.30E+01,1.40E+01,1.40E+01,6.00E+00,5.00E+00,1.00E+01,3.00E+00,1.00E+01,1.10E+01,1.30E+01,1.00E+01,2.00E+01,2.00E+01,1.00E+01,6.00E+00,9.00E+00,2.00E+00,1.00E+01,3.00E+00,1.40E+01,1.70E+01,5.00E+00,2.00E+00,1.10E+01,1,109
-3.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,1.00E+00,2.00E+00,-1.00E+00,2.00E+00,2.00E+00,2.00E+00,1,111
